name,codes,lat,lng,opening_year,type
Sembawang,NS11,1.4490501545608700,103.82004580721900,1996,mrt
Kembangan,EW6,1.3210375821845900,103.91294905496800,1989,mrt
Bukit Batok,NS2,1.349033441910400,103.74956643059200,1990,mrt
Boon Lay,EW27,1.338603387837880,103.70606428947000,1990,mrt
Bukit Gombak,NS3,1.3587611905951800,103.75189316881800,1990,mrt
Marsiling,NS8,1.4325137539694700,103.77407112796600,1996,mrt
Bedok,EW5,1.3239793022215800,103.92998416118800,1989,mrt
Joo Koon,EW29,1.3277165064270300,103.67837480986500,2009,mrt
Lakeside,EW26,1.3442585827289700,103.72094893529600,1988,mrt
Tanah Merah,EW4,1.3271864678725500,103.94634612714100,1989,mrt
Yio Chu Kang,NS15,1.3817553794462000,103.84494695641800,1987,mrt
Oasis,PE6,1.4022860108276500,103.9127270222290,,other
Sam Kee,PW1,1.4096120184204700,103.9048312171310,,other
Farmway,SW2,1.397169529791630,103.88930447707100,,other
Kupang,SW3,1.3982121617306800,103.88125588861800,,other
Renjong,SW8,1.3867232548615500,103.89053909378900,,other
Bukit Panjang,BP6,1.377909231315870,103.76301330050300,2015,mrt
Fajar,BP10,1.3845201295088200,103.77080824921500,,other
Punggol,PTC,1.4051940346362300,103.90241157860200,2003,mrt
Samudera,PW4,1.415901052772620,103.90215598300800,,other
Nibong,PW5,1.4118697917870400,103.90031348429300,,other
Soo Teck,PW7,1.4050879181876900,103.89720931694200,,other
Kadaloor,PE5,1.3995841860951000,103.91648632856400,,other
Coral Edge,PE3,1.3939085594513800,103.91258052140900,,other
Thanggam,SW4,1.397317488328670,103.87563482310400,,other
Keat Hong,BP3,1.378602099316920,103.74905518614300,,other
Damai,PE7,1.4052341695058800,103.90860321025100,,other
Cove,PE1,1.3992813183537500,103.90596161068800,,other
Riviera,PE4,1.3945238291029700,103.91616572558000,2031,mrt
Senja,BP13,1.3826916291578600,103.76236689266900,,other
Jelapang,BP12,1.3867023583476200,103.76450300487400,,other
Petir,BP7,1.3777496671508400,103.7666686269350,,other
Teck Whye,BP4,1.376684012777710,103.75371189893300,,other
Choa Chu Kang,BP1,1.3848356932998300,103.74455339799600,1990,mrt
South View,BP2,1.3802976205512500,103.74529146679500,,other
Layar,SW6,1.392079172106060,103.8800292669940,,other
Kangkar,SE4,1.3839782351672200,103.90217365538400,,other
Meridian,PE2,1.3969113863971200,103.90894988357200,,other
Cheng Lim,SW1,1.3962769646694500,103.89379684746600,,other
Punggol Point,PW3,1.4168478538296900,103.90665045707500,,other
Sumang,PW6,1.408451758981460,103.89855812067300,,other
Fernvale,SW5,1.3918852210775300,103.87630827801600,,other
Tongkang,SW7,1.3893472862932000,103.8858438165470,,other
Pending,BP8,1.3761422161185900,103.77126984531800,,other
Teck Lee,PW2,1.4127702271974500,103.90657728931100,,other
Bangkit,BP9,1.3800172305756400,103.77264873927500,,other
Bakau,SE3,1.3880920371088600,103.90543877085300,,other
Rumbia,SE2,1.391467830172330,103.9059732619230,,other
Compassvale,SE1,1.394492379531780,103.9004921172480,,other
Ten Mile Junction,BP14,1.3803203418268200,103.76013944407800,,other
Ranggung,SE5,1.384232894004200,103.8971943361390,,other
Phoenix,BP5,1.3786181777866500,103.7580337651120,,other
Segar,BP11,1.3877714641945100,103.76959806348800,,other
Sengkang,STC,1.3916086971499000,103.89544225029200,2003,mrt
Bras Basah,CC2,1.296861019860380,103.85066703844000,2010,mrt
Macpherson,CC10/DT26,1.3262104606251100,103.88981847737500,2010,mrt
City Hall,EW13/NS25,1.292935576178840,103.85258555900600,1987,mrt
Tampines East,DT33,1.3561908163715500,103.95463412941000,2017,mrt
Tampines West,DT31,1.345514638635810,103.93843663789400,2017,mrt
Geylang Bahru,DT24,1.3215051713506200,103.87190029235800,2017,mrt
Bendemeer,DT23,1.313671565877410,103.86297765413100,2017,mrt
Bencoolen,DT21,1.2988636037501300,103.85038392157900,2017,mrt
Harbourfront,NE1/CC29,1.2654719731946800,103.82144273575800,2003,mrt
Promenade,DT15/CC4,1.2930541351235400,103.86092573873000,2010,mrt
Bugis,DT14/EW12,1.3000072443451300,103.85628704021600,1989,mrt
Kent Ridge,CC24,1.293461966477460,103.78463109348100,2011,mrt
Punggol,NE17,1.4045460611217400,103.9020723050250,2003,mrt
Tanjong Pagar,EW15,1.2765205800256900,103.84586389601100,1987,mrt
One-North,CC23,1.299759211924950,103.78745717451800,2011,mrt
Bishan,CC15/NS17,1.3510731672379100,103.8486488584110,1987,mrt
Stadium,CC6,1.3028399629661700,103.87535000182900,2010,mrt
Somerset,NS23,1.3002593883981900,103.8390748290090,1987,mrt
Orchard,NS22,1.3039803457696500,103.83224111873500,1987,mrt
Jalan Besar,DT22,1.30540297555608,103.85547668300000,2017,mrt
Bayfront,DT16/CE1,1.2818731218242600,103.8590794317910,2012,mrt
Sengkang,NE16,1.3916939594326200,103.8954843607880,2003,mrt
Bukit Brown,CC18,1.3337282156543700,103.83068921680400,,other
Mountbatten,CC7,1.3062012381642700,103.88252774745400,2010,mrt
Kovan,NE13,1.3601785045124900,103.885064522977,2003,mrt
Fort Canning,DT20,1.292478261250210,103.84432793627300,2017,mrt
Farrer Road,CC20,1.317509945228670,103.80758577242100,2011,mrt
Downtown,DT17,1.2794455237114100,103.85284011070100,2013,mrt
Esplanade,CC3,1.293320940944000,103.85550377218700,2010,mrt
Nicoll Highway,CC5,1.2997661686008200,103.86363668515300,2010,mrt
Caldecott,CC17,1.3376738413772900,103.83952948742900,2011,mrt
Marina Bay,NS27/CE2,1.2762883290164700,103.85484554654300,1989,mrt
Labrador Park,CC27,1.272332064929180,103.80293928709700,2011,mrt
Chinatown,NE4/DT19,1.284553606979920,103.84393865499400,2003,mrt
Newton,DT11/NS21,1.3129629342074800,103.8378978135440,1987,mrt
Tan Kah Kee,DT8,1.3258825422554000,103.80732187428800,2015,mrt
Tiong Bahru,EW17,1.2861927261916600,103.82701909759200,1988,mrt
Hillview,DT3,1.3623442018613800,103.7674179211660,2015,mrt
King Albert Park,DT6,1.3356644540929500,103.78380632556400,2015,mrt
Mattar,DT25,1.326876048045760,103.88324717582300,2017,mrt
Ubi,DT27,1.3299561590371900,103.89925219160300,2017,mrt
Beauty World,DT5,1.341222509044650,103.7757939519930,2015,mrt
Kaki Bukit,DT28,1.334966634897800,103.9084594010760,2017,mrt
Bedok North,DT29,1.3347414500920600,103.91797799636700,2017,mrt
Dhoby Ghaut,NS24/NE6/CC1,1.2990825272089700,103.84594715057500,1987,mrt
Serangoon,CC13/NE12,1.3501508992444700,103.87297113483100,2003,mrt
Woodleigh,NE11,1.3391893788582500,103.87081797602700,2011,mrt
Novena,NS20,1.3204401241807700,103.84382528547900,1987,mrt
Bedok Reservoir,DT30,1.3366071631444300,103.93223429018400,2017,mrt
Marina South Pier,NS28,1.271336044661860,103.86285943629500,2014,mrt
Farrer Park,NE8,1.3123591735449900,103.85417680819200,2003,mrt
Bartley,CC12,1.3428276710707700,103.87975857287400,2009,mrt
Dakota,CC8,1.3083819726001000,103.88866227057100,2010,mrt
Pasir Panjang,CC26,1.2762128560181400,103.7913499798380,2011,mrt
Outram Park,NE3/EW16,1.2805840939890800,103.83935028606600,1987,mrt
Clarke Quay,NE5,1.2883853575338500,103.84655487595900,2003,mrt
Botanic Gardens,DT9/CC19,1.3222664191751400,103.81555686841300,2011,mrt
Marymount,CC16,1.3487065963512300,103.83942279923500,2009,mrt
Haw Par Villa,CC25,1.282541489975830,103.78181011801100,2011,mrt
Lorong Chuan,CC14,1.3516115043587500,103.86415160470300,2009,mrt
Lavender,EW11,1.3073563534284400,103.86282887476400,1989,mrt
Tai Seng,CC11,1.335432655556160,103.88819452779100,2010,mrt
Rochor,DT13,1.303915817297390,103.85242134736600,2015,mrt
Little India,DT12/NE7,1.3069984574445300,103.84911546263900,2003,mrt
Stevens,DT10,1.320064890339590,103.82602406891300,2015,mrt
Bukit Panjang,DT1,1.3790014500513600,103.76153478145300,2015,mrt
Cashew,DT2,1.3693691643979400,103.76469408902500,2015,mrt
Sixth Avenue,DT7,1.3307857206970300,103.79724598334200,2015,mrt
Toa Payoh,NS19,1.3326283204561400,103.84750143100300,1987,mrt
Woodlands South,TE3,1.427259312044840,103.793850559122,2020,mrt
Potong Pasir,NE10,1.3313788579523400,103.86905533192600,2003,mrt
Hougang,NE14,1.3712916250120200,103.89238018554400,2003,mrt
Boon Keng,NE9,1.3193950393559800,103.86168616852700,2003,mrt
Upper Changi,DT34,1.3417368172278400,103.96147145513400,2017,mrt
Changi Airport,CG2,1.3573138786664900,103.98836432480900,2002,mrt
Braddell,NS18,1.3404710177840800,103.84679751207500,1987,mrt
Buangkok,NE15,1.3828771914807800,103.89312123141700,2006,mrt
Raffles Place,EW14/NS26,1.2841249439059100,103.85146137875300,1987,mrt
Holland Village,CC21,1.311834123735080,103.79619149054200,2011,mrt
Telok Blangah,CC28,1.270752544791240,103.80974830351000,2011,mrt
Telok Ayer,DT18,1.2822888695249400,103.8483024728560,2013,mrt
Canberra,NS12,1.4431360333335600,103.8297114666680,2019,mrt
Woodlands North,TE1,1.4482918333338300,103.78569236669100,2020,mrt
